accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain
AF288292.1	6533	Hantavirus LR1 segment L L protein mRNA, complete cds	135737	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantaan orthohantavirus	Hantavirus LR1	Hantavirus LR1
AF288293.1	3616	Hantavirus LR1 segment M envelope glycoprotein mRNA, complete cds	135737	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantaan orthohantavirus	Hantavirus LR1	Hantavirus LR1
AF288294.1	1692	Hantavirus LR1 segment S S protein mRNA, complete cds	135737	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantaan orthohantavirus	Hantavirus LR1	Hantavirus LR1
AF288645.1	3615	Hantaan virus A16 envelope glycoprotein mRNA, complete cds	164248	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantaan orthohantavirus	Hantaan virus A16	Hantaan virus A16
AF288656.1	3618	Hantavirus SN7 envelope glycoprotein mRNA, complete cds	164255	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantaan orthohantavirus	Hantavirus SN7	Hantavirus SN7
AF288657.1	1702	Hantavirus SN7 nucleocapsid protein mRNA, complete cds	164255	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Hantaan orthohantavirus	Hantavirus SN7	Hantavirus SN7
AF289262.1	32621	Porcine adenovirus 5, complete genome	45370	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Porcine mastadenovirus C	Porcine adenovirus 5	Porcine adenovirus 5
AF289548.1	8976	HIV-1 clone 96TZ-BF061 from Tanzania, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF289549.1	9023	HIV-1 clone 96TZ-BF071 from Tanzania, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF289550.1	8992	HIV-1 clone 96TZ-BF110 from Tanzania, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
AF291073.1	2910	Torque teno mini virus 8 isolate PB4TL, complete genome	687376	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Betatorquevirus	Torque teno mini virus 8	unclassified Torque teno mini virus 8 subspecies/strain	unclassified Torque teno mini virus 8 strain
AF291683.1	4361	Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 1, complete sequence	134606	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Cypovirus	Cypovirus 15	Trichoplusia ni cypovirus 15	Trichoplusia ni cypovirus 15
AF291684.1	4187	Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 2, complete sequence	134606	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Cypovirus	Cypovirus 15	Trichoplusia ni cypovirus 15	Trichoplusia ni cypovirus 15
AF291685.1	3878	Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 3, complete sequence	134606	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Cypovirus	Cypovirus 15	Trichoplusia ni cypovirus 15	Trichoplusia ni cypovirus 15
AF291686.3	3311	Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 4, complete sequence	134606	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Cypovirus	Cypovirus 15	Trichoplusia ni cypovirus 15	Trichoplusia ni cypovirus 15
AF291687.1	2260	Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 5, complete sequence	134606	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Cypovirus	Cypovirus 15	Trichoplusia ni cypovirus 15	Trichoplusia ni cypovirus 15
AF291688.1	1859	Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 6, complete sequence	134606	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Cypovirus	Cypovirus 15	Trichoplusia ni cypovirus 15	Trichoplusia ni cypovirus 15
AF291689.1	1776	Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 7, complete sequence	134606	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Cypovirus	Cypovirus 15	Trichoplusia ni cypovirus 15	Trichoplusia ni cypovirus 15
AF291690.1	1234	Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 8, complete sequence	134606	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Cypovirus	Cypovirus 15	Trichoplusia ni cypovirus 15	Trichoplusia ni cypovirus 15
AF291691.1	1157	Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 9, complete sequence	134606	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Cypovirus	Cypovirus 15	Trichoplusia ni cypovirus 15	Trichoplusia ni cypovirus 15
AF291693.1	200	Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 11, complete sequence	134606	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Cypovirus	Cypovirus 15	Trichoplusia ni cypovirus 15	Trichoplusia ni cypovirus 15
AF291702.1	1871	Andes virus strain Chile-9717869 segment S nucleocapsid protein gene, complete cds	1980456	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Andes orthohantavirus	unclassified Andes orthohantavirus subspecies/strain	unclassified Andes orthohantavirus strain
AF291703.2	3671	Andes virus strain Chile-9717869 segment M G1 and G2 surface glycoprotein precursor, gene, complete cds	1980456	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Andes orthohantavirus	unclassified Andes orthohantavirus subspecies/strain	unclassified Andes orthohantavirus strain
AF291704.5	6562	Andes virus strain Chile-9717869 segment L, complete sequence	1980456	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Andes orthohantavirus	unclassified Andes orthohantavirus subspecies/strain	unclassified Andes orthohantavirus strain
AF293960.1	7948	Human papillomavirus type 84, complete genome	150546	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 3	human papillomavirus 84	human papillomavirus 84
AF294762.1	1251	Avian orthoreovirus strain 1017-1 sigma A mRNA, complete cds	38170	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Avian orthoreovirus	unclassified Avian orthoreovirus subspecies/strain	unclassified Avian orthoreovirus strain
AF298895.2	15522	Tioman virus, complete genome	162013	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Pararubulavirus	Tioman pararubulavirus	Tioman virus	Tioman virus
AF301156.1	8728	Simian immunodeficiency virus virus strain SIVcolCGU1, complete genome	11723	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Simian immunodeficiency virus	unclassified Simian immunodeficiency virus subspecies/strain	unclassified Simian immunodeficiency virus strain
AF309966.1	9292	Hepatitis G virus isolate PEI polyprotein precursor RNA, complete cds	140024	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pegivirus	Pegivirus C	Hepatitis G virus isolate PEI	Hepatitis G virus isolate PEI
AF311056.1	10800	Deer tick virus strain ctb30 polyprotein gene, complete cds	58535	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Powassan virus	Deer tick virus	Deer tick virus
AF316321.2	7411	Enterovirus 5865/sin/000009, complete genome	150846	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A	Enterovirus 5865/sin/000009	Enterovirus 5865/sin/000009
AF317694.1	7410	Human echovirus 18 strain Metcalf polyprotein gene, complete cds	47506	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B	Echovirus E18	Echovirus E18
AF323747.1	9476	Perina nuda picorna-like virus, complete genome	170621	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Perina nuda virus	unclassified Perina nuda virus subspecies/strain	unclassified Perina nuda virus strain
AF326114.2	15516	Menangle virus, complete genome	152219	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Pararubulavirus	Menangle pararubulavirus	Menangle virus	Menangle virus
AF326750.2	7389	Enterovirus A125 strain A13, complete genome	2884179	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A	enterovirus A125	enterovirus A125
AF326751.2	7378	Simian agent 5 strain B165, complete genome	172038	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B	Simian agent 5	Simian agent 5
AF326754.2	7373	Simian enterovirus 19 strain M19s (P2), complete genome	442855	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A	Simian enterovirus 19	Simian enterovirus 19
AF326759.2	7295	Simian enterovirus SV4 strain 1715 UWB, complete genome	442851	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus H	Simian enterovirus SV4	Simian enterovirus SV4
AF326761.2	7348	Enterovirus A123 strain OM112t (P12), complete genome	2870394	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A	enterovirus A123	enterovirus A123
AF326764.2	7393	Enterovirus A124 strain OM22 (P15), complete genome	2870395	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A	enterovirus A124	enterovirus A124
AF327920.2	7590	Ljunganvirus 1 strain 87-012 polyprotein gene, complete cds	1001061	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus B	Ljunganvirus 1	Ljunganvirus 1
AF327922.2	7592	Ljungan virus strain 145SL polyprotein gene, complete cds	172317	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus B	Ljungan virus 145SL	Ljungan virus 145SL
AF328295.1	9529	Simian immunodeficiency virus strain SIVmnd14cg, complete genome	11723	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Simian immunodeficiency virus	unclassified Simian immunodeficiency virus subspecies/strain	unclassified Simian immunodeficiency virus strain
AF329389.1	1785	Hantavirus tchoupitoulas S segment nucleocapsid protein gene, complete cds	147454	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Seoul orthohantavirus	Seoulvirus tchoupitoulas	Seoulvirus tchoupitoulas
AF331718.1	10685	Alkhurma virus strain 1176 polyprotein gene, complete cds	172148	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Kyasanur Forest disease virus	Alkhumra hemorrhagic fever virus	Alkhumra hemorrhagic fever virus
AF332135.1	1196	Orthoreovirus 3 Dearing-derived E64-adapted 1 (D-EA1) sigma 3 gene, complete cds	10886	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian orthoreovirus 3 Dearing	Mammalian orthoreovirus 3 Dearing
AF334679.1	9613	Simian immunodeficiency virus strain SIVsmSL92b, complete genome	11723	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Simian immunodeficiency virus	unclassified Simian immunodeficiency virus subspecies/strain	unclassified Simian immunodeficiency virus strain
AF338470.1	5364	Crimean-Congo hemorrhagic fever virus Chinese isolate strain BA88166 segment M envelope glycoprotein precursor gene, complete cds	154120	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Crimean-Congo hemorrhagic fever orthonairovirus	Crimean-Congo hemorrhagic fever virus strain BA88166	Crimean-Congo hemorrhagic fever virus strain BA88166
AF338823.1	609	Possum adenovirus 1 23K endoprotease gene, complete cds	150098	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Possum atadenovirus A	Possum adenovirus 1	Possum adenovirus 1
AF345523.1	3229	Torque teno virus 5 isolate TCHN-C1 Orf2 and Orf1 genes, complete cds	687344	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 5	unclassified Torque teno virus 5 subspecies/strain	unclassified Torque teno virus 5 strain
AF345524.1	3193	Torque teno virus 11 isolate TCHN-D1 Orf2 and Orf1 genes, complete cds	687350	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 11	unclassified Torque teno virus 11 subspecies/strain	unclassified Torque teno virus 11 strain
AF345526.1	3312	Torque teno virus 13 isolate TCHN-A Orf2 and Orf1 genes, complete cds	687352	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 13	unclassified Torque teno virus 13 subspecies/strain	unclassified Torque teno virus 13 strain
AF348409.1	3153	Torque teno virus 21 isolate TCHN-B ORF2 and ORF1 genes, complete cds	687360	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 21	unclassified Torque teno virus 21 subspecies/strain	unclassified Torque teno virus 21 strain
AF349909.1	7983	Human papillomavirus type 86 candidate, complete genome	171370	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 3	human papillomavirus 86	human papillomavirus 86
AF352024.1	5776	Beet chlorosis virus isolate BChV-2a, complete genome	131082	Viruses	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	Polerovirus	Beet chlorosis virus	unclassified Beet chlorosis virus subspecies/strain	unclassified Beet chlorosis virus strain
AF354219.1	981	Avian reovirus GEI10 97M sigma C protein gene, complete cds	177344	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Avian orthoreovirus	Avian reovirus GEI10 97M	Avian reovirus GEI10 97M
AF354220.1	981	Avian reovirus GEI09 97M sigma C protein gene, complete cds	177343	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Avian orthoreovirus	Avian reovirus GEI09 97M	Avian reovirus GEI09 97M
AF354221.1	981	Avian reovirus GEL01 96T sigma C protein gene, complete cds	177345	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Avian orthoreovirus	Avian reovirus GEL01 96T	Avian reovirus GEL01 96T
AF354224.1	981	Avian reovirus GEL06 97M sigma C protein gene, complete cds	177348	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Avian orthoreovirus	Avian reovirus GEL06 97M	Avian reovirus GEL06 97M
AF354226.1	981	Avian reovirus GEL13a98M sigma C protein gene, complete cds	177350	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Avian orthoreovirus	Avian reovirus GEL13a98M	Avian reovirus GEL13a98M
AF354227.1	981	Avian reovirus GEL13b98M sigma C protein gene, complete cds	177351	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Avian orthoreovirus	Avian reovirus GEL13b98M	Avian reovirus GEL13b98M
AF354229.1	981	Avian reovirus NLI02 98M sigma C protein gene, complete cds	177353	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Avian orthoreovirus	Avian reovirus NLI02 98M	Avian reovirus NLI02 98M
AF354230.1	981	Avian reovirus NLI12 96M sigma C protein gene, complete cds	177354	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Avian orthoreovirus	Avian reovirus NLI12 96M	Avian reovirus NLI12 96M
AF356083.1	2831	Fiji disease virus segment 6, complete sequence	77698	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Fijivirus	Fiji disease virus	unclassified Fiji disease virus subspecies/strain	unclassified Fiji disease virus strain
AF356697.1	8072	Porcine endogenous retrovirus class E clone P14.1, complete genome	168238	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Porcine type-C oncovirus	Porcine endogenous retrovirus E	Porcine endogenous retrovirus E
AF359556.1	3623	Fiji disease virus segment 3 'B' spike structural protein gene, complete cds	77698	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Fijivirus	Fiji disease virus	unclassified Fiji disease virus subspecies/strain	unclassified Fiji disease virus strain
AF361438.1	2362	Human rotavirus HMG035 minor outer capsid protein (VP4) gene, complete cds	161239	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus HMG035	Human rotavirus HMG035
AF362080.1	1673	Crimean-Congo Hemorrhagic Fever virus strain China nucleoprotein mRNA, complete cds	170517	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Crimean-Congo hemorrhagic fever orthonairovirus	Crimean-Congo Hemorrhagic Fever virus strain China	Crimean-Congo Hemorrhagic Fever virus strain China
AF363453.1	7388	Porcine enterovirus 9 strain UKG/410/73 polyprotein gene, complete cds	64141	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus G	Porcine enterovirus 9	Porcine enterovirus 9
